district,week,y_true,horizon,model,yhat
022,2021-06-21,158.0,1,xgboost,159.85792541503906
022,2021-06-28,138.0,1,seasonal_naive,123.0
022,2021-06-28,138.0,1,sarima,127.0718411430819
022,2021-06-28,138.0,1,prophet,149.57750600374604
022,2021-06-28,138.0,1,xgboost,153.1350860595703
022,2021-07-05,139.0,1,seasonal_naive,137.0
022,2021-07-05,139.0,1,sarima,143.84523121175155
022,2021-07-05,139.0,1,prophet,159.3357895853719
022,2021-07-05,139.0,1,xgboost,157.34820556640625
022,2021-07-12,148.0,1,seasonal_naive,154.0
022,2021-07-12,148.0,1,sarima,147.7818406806234
022,2021-07-12,148.0,1,prophet,159.3357895853719
022,2021-07-12,148.0,1,xgboost,158.30899047851562
022,2021-07-19,132.0,1,seasonal_naive,149.0
022,2021-07-19,132.0,1,sarima,151.33208495550588
022,2021-07-19,132.0,1,prophet,159.96841648206143
022,2021-07-19,132.0,1,xgboost,154.85073852539062
022,2021-07-26,130.0,1,seasonal_naive,142.0
022,2021-07-26,130.0,1,sarima,146.72396997319404
022,2021-07-26,130.0,1,prophet,159.96841648206143
022,2021-07-26,130.0,1,xgboost,152.71484375
022,2021-08-02,130.0,1,seasonal_naive,148.0
022,2021-08-02,130.0,1,sarima,137.90207583812915
022,2021-08-02,130.0,1,prophet,163.50230502194967
022,2021-08-02,130.0,1,xgboost,158.8594512939453
022,2021-08-09,117.0,1,seasonal_naive,152.0
022,2021-08-09,117.0,1,sarima,156.063862008657
022,2021-08-09,117.0,1,prophet,163.50230502194967
022,2021-08-09,117.0,1,xgboost,156.47679138183594
022,2021-08-16,121.0,1,seasonal_naive,140.0
022,2021-08-16,121.0,1,sarima,127.93167776703854
022,2021-08-16,121.0,1,prophet,155.60964009340876
022,2021-08-16,121.0,1,xgboost,156.25567626953125
022,2021-08-23,139.0,1,seasonal_naive,134.0
022,2021-08-23,139.0,1,sarima,121.17809457092405
022,2021-08-23,139.0,1,prophet,155.60964009340876
022,2021-08-23,139.0,1,xgboost,155.03053283691406
022,2021-08-30,135.0,1,seasonal_naive,122.0
022,2021-08-30,135.0,1,sarima,126.09340629077788
022,2021-08-30,135.0,1,prophet,136.02749442047454
022,2021-08-30,135.0,1,xgboost,163.98495483398438
022,2021-09-06,157.0,1,seasonal_naive,130.0
022,2021-09-06,157.0,1,sarima,129.81720395228754
022,2021-09-06,157.0,1,prophet,136.02749442047454
