primary_type,week,count
ASSAULT,2013-11-11,265
ASSAULT,2013-11-18,301
ASSAULT,2013-11-25,270
ASSAULT,2013-12-02,317
ASSAULT,2013-12-09,244
ASSAULT,2013-12-16,268
ASSAULT,2013-12-23,221
ASSAULT,2013-12-30,188
ASSAULT,2014-01-06,215
ASSAULT,2014-01-13,257
ASSAULT,2014-01-20,253
ASSAULT,2014-01-27,239
ASSAULT,2014-02-03,252
ASSAULT,2014-02-10,210
ASSAULT,2014-02-17,271
ASSAULT,2014-02-24,302
ASSAULT,2014-03-03,292
ASSAULT,2014-03-10,336
ASSAULT,2014-03-17,327
ASSAULT,2014-03-24,301
ASSAULT,2014-03-31,316
ASSAULT,2014-04-07,334
ASSAULT,2014-04-14,290
ASSAULT,2014-04-21,343
ASSAULT,2014-04-28,402
ASSAULT,2014-05-05,352
ASSAULT,2014-05-12,389
ASSAULT,2014-05-19,392
ASSAULT,2014-05-26,372
ASSAULT,2014-06-02,407
ASSAULT,2014-06-09,384
ASSAULT,2014-06-16,385
ASSAULT,2014-06-23,364
ASSAULT,2014-06-30,377
ASSAULT,2014-07-07,394
ASSAULT,2014-07-14,348
ASSAULT,2014-07-21,346
ASSAULT,2014-07-28,397
ASSAULT,2014-08-04,409
ASSAULT,2014-08-11,335
ASSAULT,2014-08-18,346
ASSAULT,2014-08-25,352
ASSAULT,2014-09-01,355
ASSAULT,2014-09-08,307
ASSAULT,2014-09-15,399
ASSAULT,2014-09-22,412
ASSAULT,2014-09-29,354
ASSAULT,2014-10-06,319
ASSAULT,2014-10-13,331
ASSAULT,2014-10-20,345
ASSAULT,2014-10-27,349
ASSAULT,2014-11-03,290
ASSAULT,2014-11-10,261
ASSAULT,2014-11-17,299
ASSAULT,2014-11-24,216
ASSAULT,2014-12-01,279
ASSAULT,2014-12-08,338
ASSAULT,2014-12-15,293
ASSAULT,2014-12-22,226
ASSAULT,2014-12-29,246
ASSAULT,2015-01-05,225
ASSAULT,2015-01-12,280
ASSAULT,2015-01-19,325
ASSAULT,2015-01-26,278
ASSAULT,2015-02-02,290
ASSAULT,2015-02-09,273
ASSAULT,2015-02-16,253
ASSAULT,2015-02-23,267
ASSAULT,2015-03-02,295
ASSAULT,2015-03-09,389
ASSAULT,2015-03-16,335
ASSAULT,2015-03-23,300
ASSAULT,2015-03-30,342
ASSAULT,2015-04-06,283
ASSAULT,2015-04-13,306
ASSAULT,2015-04-20,336
ASSAULT,2015-04-27,404
ASSAULT,2015-05-04,374
ASSAULT,2015-05-11,379
ASSAULT,2015-05-18,373
ASSAULT,2015-05-25,360
ASSAULT,2015-06-01,366
ASSAULT,2015-06-08,365
ASSAULT,2015-06-15,396
ASSAULT,2015-06-22,363
ASSAULT,2015-06-29,372
ASSAULT,2015-07-06,332
ASSAULT,2015-07-13,344
ASSAULT,2015-07-20,380
ASSAULT,2015-07-27,366
ASSAULT,2015-08-03,350
ASSAULT,2015-08-10,412
ASSAULT,2015-08-17,357
ASSAULT,2015-08-24,333
ASSAULT,2015-08-31,367
ASSAULT,2015-09-07,310
ASSAULT,2015-09-14,357
ASSAULT,2015-09-21,405
ASSAULT,2015-09-28,313
ASSAULT,2015-10-05,356
ASSAULT,2015-10-12,320
ASSAULT,2015-10-19,332
ASSAULT,2015-10-26,299
ASSAULT,2015-11-02,324
ASSAULT,2015-11-09,272
ASSAULT,2015-11-16,293
ASSAULT,2015-11-23,274
ASSAULT,2015-11-30,262
ASSAULT,2015-12-07,276
ASSAULT,2015-12-14,289
ASSAULT,2015-12-21,303
ASSAULT,2015-12-28,261
ASSAULT,2016-01-04,296
ASSAULT,2016-01-11,257
ASSAULT,2016-01-18,257
ASSAULT,2016-01-25,302
ASSAULT,2016-02-01,296
ASSAULT,2016-02-08,270
ASSAULT,2016-02-15,341
ASSAULT,2016-02-22,284
ASSAULT,2016-02-29,342
ASSAULT,2016-03-07,392
ASSAULT,2016-03-14,355
ASSAULT,2016-03-21,362
ASSAULT,2016-03-28,384
ASSAULT,2016-04-04,303
ASSAULT,2016-04-11,380
ASSAULT,2016-04-18,359
ASSAULT,2016-04-25,380
ASSAULT,2016-05-02,380
ASSAULT,2016-05-09,397
ASSAULT,2016-05-16,384
ASSAULT,2016-05-23,426
ASSAULT,2016-05-30,465
ASSAULT,2016-06-06,415
ASSAULT,2016-06-13,411
ASSAULT,2016-06-20,430
ASSAULT,2016-06-27,410
ASSAULT,2016-07-04,431
ASSAULT,2016-07-11,343
ASSAULT,2016-07-18,391
ASSAULT,2016-07-25,378
ASSAULT,2016-08-01,406
ASSAULT,2016-08-08,382
ASSAULT,2016-08-15,404
ASSAULT,2016-08-22,380
ASSAULT,2016-08-29,407
ASSAULT,2016-09-05,399
ASSAULT,2016-09-12,439
ASSAULT,2016-09-19,393
ASSAULT,2016-09-26,328
ASSAULT,2016-10-03,371
ASSAULT,2016-10-10,394
ASSAULT,2016-10-17,389
ASSAULT,2016-10-24,372
ASSAULT,2016-10-31,396
ASSAULT,2016-11-07,302
ASSAULT,2016-11-14,359
ASSAULT,2016-11-21,280
ASSAULT,2016-11-28,297
ASSAULT,2016-12-05,304
ASSAULT,2016-12-12,263
ASSAULT,2016-12-19,298
ASSAULT,2016-12-26,291
ASSAULT,2017-01-02,300
ASSAULT,2017-01-09,292
ASSAULT,2017-01-16,337
ASSAULT,2017-01-23,312
ASSAULT,2017-01-30,289
ASSAULT,2017-02-06,333
ASSAULT,2017-02-13,345
ASSAULT,2017-02-20,324
ASSAULT,2017-02-27,296
ASSAULT,2017-03-06,302
ASSAULT,2017-03-13,324
ASSAULT,2017-03-20,374
ASSAULT,2017-03-27,371
ASSAULT,2017-04-03,368
ASSAULT,2017-04-10,364
ASSAULT,2017-04-17,418
ASSAULT,2017-04-24,398
ASSAULT,2017-05-01,376
ASSAULT,2017-05-08,408
ASSAULT,2017-05-15,458
ASSAULT,2017-05-22,413
ASSAULT,2017-05-29,453
ASSAULT,2017-06-05,479
ASSAULT,2017-06-12,412
ASSAULT,2017-06-19,420
ASSAULT,2017-06-26,420
ASSAULT,2017-07-03,458
ASSAULT,2017-07-10,397
ASSAULT,2017-07-17,380
ASSAULT,2017-07-24,403
ASSAULT,2017-07-31,419
ASSAULT,2017-08-07,368
ASSAULT,2017-08-14,406
ASSAULT,2017-08-21,361
ASSAULT,2017-08-28,418
ASSAULT,2017-09-04,393
ASSAULT,2017-09-11,408
